,msl,olr,sm1,t2m,tp,z500
1950-10-01,-478.1328,-0.11477661,0.017124355,-0.08673096,-7.644882e-05,-413.92578
1950-10-02,131.39062,-20.007935,0.00027179718,-0.037353516,-0.00027909616,-32.94922
1950-10-03,372.45312,-17.595291,-0.014502108,0.6922302,-0.00028370318,268.71875
1950-10-04,1026.0859,0.76963806,-0.01884085,-1.2749023,-0.00027705022,808.7617
1950-10-05,854.0547,-20.74002,-0.025449455,-0.023651123,-0.0002788456,1038.1172
1950-10-06,695.125,-37.525406,-0.03108713,0.43200684,-0.00028135517,1115.8438
1950-10-07,436.1172,-41.161987,-0.03810054,2.0507507,-0.00027587204,891.97266
1950-10-08,65.91406,-20.98819,-0.04509905,2.15271,-0.00027093373,491.33984
1950-10-09,122.09375,13.293579,-0.047112882,1.6492615,-0.00026184382,468.45312
1950-10-10,320.21875,25.757828,-0.052998155,2.343872,-0.0002587184,560.91016
1950-10-11,608.03906,-10.18222,-0.05386278,2.863556,-0.00024580956,1001.5078
1950-10-12,924.14844,-26.05191,-0.057358295,1.4804993,-0.00024347489,1307.4961
1950-10-13,813.46875,-18.69159,-0.05470586,-0.003540039,-0.00020469163,1089.5664
1950-10-14,296.89844,-23.742065,-0.047733665,1.2747192,-0.00023873872,698.2383
1950-10-15,401.92188,-15.3272705,-0.049078166,0.9493408,-0.00023219439,447.6211
1950-10-16,597.0156,13.580048,-0.050344527,2.2398682,-0.00023207876,643.7422
1950-10-17,517.0703,-11.047226,-0.053171366,2.6409302,-0.00022912335,765.39453
1950-10-18,143.84375,0.584198,-0.05746883,3.6875305,-0.00022136963,1159.0195
1950-10-19,71.22656,-37.79721,-0.06284645,4.392975,-0.00021569896,1246.5273
1950-10-20,313.6328,-32.609467,-0.067135006,2.4223022,-0.00021299688,1192.1406
1950-10-21,213.05469,-23.115082,-0.069809645,2.4710693,-0.00020537399,891.26953
1950-10-22,493.1328,-14.804016,-0.07059899,2.4338684,-0.0001783941,759.65625
1950-10-23,455.0625,3.0115051,-0.06107083,1.227356,-0.00016274083,502.98438
1950-10-24,-142.82031,18.761703,-0.05907446,-0.03878784,-0.00020951965,-15.300781
1950-10-25,-1464.8281,22.801514,-0.061000496,-0.26098633,-0.00020985905,-1107.7812
1950-10-26,-1697.375,-17.251053,-0.059735507,-2.9526367,-0.00020470898,-2193.4844
1950-10-27,-1077.2109,-16.637024,-0.06426388,-3.354187,-0.00019586748,-2318.3555
1950-10-28,-855.78906,13.559982,-0.06667727,-3.8038025,-0.00017263509,-2476.8828
1950-10-29,-593.7031,7.0096893,-0.06561574,-5.409851,-0.00019253482,-2346.2578
1950-10-30,-647.3672,-14.58049,-0.06827021,-3.91214,-0.00019816551,-1534.1523
1950-10-31,-145.28125,-21.45108,-0.07181314,-1.4543457,-0.00019942486,-195.7539
1950-11-01,-3.59375,-0.5820923,-0.07386282,-0.46395874,-0.00019664541,-22.660156
1950-11-02,-323.5547,-13.042419,-0.07551512,0.2164917,-0.00019466567,-546.02734
1950-11-03,-1312.2969,30.436874,-0.025494844,-2.630951,0.00028521367,-1714.9375
