,sstNorth_Atlantic_cluster1,sstNorth_Atlantic_cluster2,sstNorth_Atlantic_cluster3,sstNorth_Atlantic_cluster4,sstNorth_Atlantic_cluster5
1950-09-16,0.27542114,-0.046722412,0.09020996,-0.15829468,1.0712891
1950-09-17,0.28189087,-0.0496521,0.09713745,-0.15420532,1.0635986
1950-09-18,0.28894043,-0.05722046,0.10934448,-0.15048218,1.0493469
1950-09-19,0.29364014,-0.06112671,0.122406006,-0.14892578,1.0310669
1950-09-20,0.29641724,-0.06072998,0.13522339,-0.14962769,1.0134277
1950-09-21,0.29534912,-0.05758667,0.14871216,-0.15072632,0.9949951
1950-09-22,0.29473877,-0.05206299,0.16085815,-0.15072632,0.97665405
1950-09-23,0.2904663,-0.046813965,0.17181396,-0.1522522,0.95599365
1950-09-24,0.28482056,-0.042144775,0.18411255,-0.15405273,0.9364319
1950-09-25,0.27618408,-0.038085938,0.19451904,-0.15621948,0.9147339
1950-09-26,0.26644897,-0.034240723,0.20443726,-0.1595459,0.89349365
1950-09-27,0.2545166,-0.030883789,0.21304321,-0.16326904,0.8699646
1950-09-28,0.2394104,-0.023651123,0.22088623,-0.16931152,0.84646606
1950-09-29,0.22439575,-0.016998291,0.22528076,-0.17453003,0.8211365
1950-09-30,0.20730591,-0.011657715,0.22824097,-0.18054199,0.7991028
1950-10-01,0.1918335,-0.007873535,0.23291016,-0.18579102,0.77612305
1950-10-02,0.17373657,-0.00579834,0.23522949,-0.1902771,0.7564392
1950-10-03,0.15527344,0.0007324219,0.23953247,-0.19354248,0.73773193
1950-10-04,0.1333313,0.0058898926,0.24359131,-0.19726562,0.7211609
1950-10-05,0.11178589,0.010864258,0.24813843,-0.19717407,0.7069092
1950-10-06,0.091552734,0.013580322,0.25183105,-0.19729614,0.6941223
1950-10-07,0.072143555,0.013977051,0.25671387,-0.19692993,0.68130493
1950-10-08,0.051116943,0.016601562,0.26049805,-0.19662476,0.6711426
1950-10-09,0.032409668,0.019012451,0.26333618,-0.1963501,0.6607971
1950-10-10,0.015167236,0.020904541,0.2661438,-0.19519043,0.6517639
1950-10-11,-0.0006713867,0.023773193,0.26965332,-0.1954956,0.6465759
1950-10-12,-0.015899658,0.027770996,0.27215576,-0.19363403,0.64276123
1950-10-13,-0.027160645,0.034423828,0.2748413,-0.19006348,0.63894653
1950-10-14,-0.038757324,0.04055786,0.27804565,-0.18582153,0.6357422
1950-10-15,-0.048309326,0.049346924,0.27929688,-0.17831421,0.63464355
1950-10-16,-0.053863525,0.055236816,0.28155518,-0.16906738,0.63583374
1950-10-17,-0.057159424,0.012084961,0.2836609,-0.15753174,0.63986206
1950-10-18,-0.05596924,-0.5366211,0.2852173,-0.14450073,0.6472168
1950-10-19,-0.052734375,-0.5075073,0.28479004,-0.13482666,0.6571045
1950-10-20,-0.04751587,-0.48272705,0.2842102,-0.13305664,0.6661377
1950-10-21,-0.04046631,-0.46258545,0.28234863,-0.1338501,0.6766052
1950-10-22,-0.030670166,-0.44274902,0.2774048,-0.13983154,0.688385
1950-10-23,-0.021697998,-0.425354,0.27249146,-0.1505127,0.69799805
1950-10-24,-0.011016846,-0.40649414,0.2671814,-0.16378784,0.70880127
1950-10-25,-0.00048828125,-0.3881836,0.26293945,-0.1803894,0.72036743
1950-10-26,0.013153076,-0.36898804,0.25735474,-0.19961548,0.732605
1950-10-27,0.024719238,-0.3496704,0.25305176,-0.22055054,0.7455139
1950-10-28,0.03955078,-0.33270264,0.2498169,-0.24429321,0.76065063
1950-10-29,0.054779053,-0.31530762,0.24725342,-0.26895142,0.77597046
1950-10-30,0.07229614,-0.29818726,0.24581909,-0.29507446,0.7923279
1950-10-31,0.089904785,-0.30407715,0.2444458,-0.32128906,0.8078308
1950-11-01,0.10839844,-0.55670166,0.24301147,-0.3494873,0.82281494
1950-11-02,0.12619019,-0.546875,0.24111938,-0.37838745,0.835022
1950-11-03,0.1454773,-0.53726196,0.24169922,-0.407135,0.84542847
1950-11-04,0.16506958,-0.5287781,0.2427063,-0.43640137,0.8553467
1950-11-05,0.18518066,-0.51620483,0.24517822,-0.46505737,0.86380005
1950-11-06,0.20315552,-0.50497437,0.25079346,-0.4921875,0.8711853
1950-11-07,0.22311401,-0.49435425,0.2593994,-0.51763916,0.8790283
1950-11-08,0.24328613,-0.48327637,0.26815796,-0.54367065,0.8852234
1950-11-09,0.26065063,-0.4708252,0.27963257,-0.56585693,0.8920288
1950-11-10,0.27841187,-0.4567566,0.29284668,-0.58691406,0.8960266
1950-11-11,0.2935791,-0.44058228,0.31036377,-0.6053772,0.89941406
1950-11-12,0.30740356,-0.42370605,0.32885742,-0.62112427,0.89764404
1950-11-13,0.32073975,-0.405365,0.34848022,-0.63461304,0.8936157
1950-11-14,0.33236694,-0.38778687,0.37182617,-0.6430969,0.88583374
1950-11-15,0.3407898,-0.368042,0.39422607,-0.6498718,0.87527466
1950-11-16,0.3487854,-0.31079102,0.42074585,-0.65133667,0.85891724
1950-11-17,0.3522339,-0.006134033,0.44717407,-0.6481018,0.8413696
1950-11-18,0.35464478,-0.018737793,0.4642334,-0.64172363,0.8256836
