,sm1Europe_cluster1,sm1Europe_cluster2,sm1Europe_cluster3,sm1Europe_cluster4,sm1Europe_cluster5
1950-09-16,0.02534844,-0.004013194,-0.018815741,0.007862002,-0.034761854
1950-09-17,0.01795578,0.0036565885,-0.02027236,-0.00095388293,-0.03579497
1950-09-18,0.021788552,0.0002845768,-0.01906827,-0.0072473288,-0.03725555
1950-09-19,0.020268619,-0.0028570052,-0.018713877,-0.011441559,-0.03875886
1950-09-20,0.02297084,-0.0048280284,-0.020406216,-0.011507213,-0.039948776
1950-09-21,0.029449321,-0.00039538927,-0.021705389,-0.01382044,-0.040581785
1950-09-22,0.02685947,0.004505001,-0.022852033,0.005885929,-0.04118589
1950-09-23,0.021506198,0.0004930198,-0.02370444,0.019567043,-0.041092563
1950-09-24,0.03144549,0.0008224398,-0.02373194,0.002791375,-0.036333162
1950-09-25,0.030256547,0.0029531159,-0.023068689,0.017244488,-0.03766332
1950-09-26,0.024961852,-0.00014158897,-0.023459196,0.007634878,-0.038891695
1950-09-27,0.020735562,-0.00092837587,-0.024532259,0.0006841123,-0.039916344
1950-09-28,0.014877982,-0.00013734959,-0.02549798,0.004841149,-0.039011206
1950-09-29,0.014636137,0.0006558988,-0.025938287,0.009561509,-0.040433176
1950-09-30,0.014457054,-0.00086113624,-0.015556611,0.0128555,-0.041862432
1950-10-01,0.012471333,-0.0018324163,-0.013691038,-0.0006136596,-0.041903466
1950-10-02,0.022264846,-0.00074569136,-0.017307587,-0.007083237,-0.042598806
1950-10-03,0.019640401,0.0029424261,-0.020781241,0.018527329,-0.04406355
1950-10-04,0.012339026,0.0017042346,-0.02355434,0.012597263,-0.04509227
1950-10-05,0.008036822,0.002841875,-0.02378302,0.004406154,-0.04622211
1950-10-06,0.0046491176,0.00078717433,-0.01149445,-0.0025807023,-0.047214273
1950-10-07,0.0019455329,-0.00016237609,0.021043256,-0.007537842,-0.048052434
1950-10-08,0.0017466545,0.0012768283,0.02019903,-0.012522638,-0.04883226
1950-10-09,-0.0014140531,0.0011084117,0.037559852,-0.016677707,-0.049453873
1950-10-10,0.0012430698,0.0026398748,0.029153734,-0.014346391,-0.05023014
1950-10-11,0.00838124,0.0011017378,0.017454386,-0.01755324,-0.049833775
